"case","event"
"case_145","hostD|http(s)"
"case_146","serD|unassigned"
"case_146","vulnD|storage"
"case_146","serD|unassigned"
"case_146","vulnD|storage"
"case_146","hostD|http(s)"
"case_146","serD|unassigned"
"case_146","vulnD|storage"
"case_146","serD|unassigned"
"case_146","vulnD|storage"
"case_146","infoD|unassigned"
"case_146","hostD|http(s)"
"case_146","serD|ATCcomm"
"case_146","vulnD|storage"
"case_146","hostD|http(s)"
"case_147","hostD|http(s)"
"case_147","serD|unassigned"
"case_147","vulnD|storage"
"case_147","uPrivEsc|hostingServer"
"case_148","hostD|http(s)"
"case_148","serD|unassigned"
"case_148","vulnD|storage"
"case_148","CnC|http(s)"
"case_149","surf|http(s)"
"case_149","infoD|http(s)"
"case_149","uPrivEsc|hostingServer"
"case_149","netDOS|http(s)"
"case_150","serD|remoteAccess"
"case_150","vulnD|storage"
"case_150","hostD|wireless"
"case_150","infoD|unassigned"
"case_150","exfil|unassigned"
"case_151","uPrivEsc|hostingServer"
"case_151","uPrivEsc|hostingServer"
"case_151","uPrivEsc|hostingServer"
"case_152","serD|remoteAccess"
"case_152","vulnD|storage"
"case_152","hostD|surveillance"
"case_152","infoD|unassigned"
"case_152","exfil|unassigned"
"case_153","surf|http(s)"
"case_153","infoD|http(s)"
